files,pronunciation,predictions_CART_model,predictions_proba_CART_model,predictions_KNN_model,predictions_proba_KNN_model,predictions_LDA_model,predictions_proba_LDA_model,predictions_LR_model,predictions_proba_LR_model,predictions_NB_model,predictions_proba_NB_model,predictions_SVN_model
23a99897-02d4-4f93-8b31-0341e3248fdb.mp3,85.12,b2,[0. 0. 0. 0. 1. 0.],b2,[0.  0.  0.  0.  0.6 0.4],b2,"[1.94050824e-06 3.70435641e-18 7.50910672e-10 4.09732136e-03
 8.75002691e-01 1.20898047e-01]",b2,"[3.49813406e-03 1.06071095e-04 9.13143397e-05 1.33095528e-02
 7.40180417e-01 2.42814511e-01]",b2,"[5.15443812e-28 0.00000000e+00 7.63155767e-25 2.13044372e-03
 9.97869019e-01 5.37698075e-07]",c
0d14e440-cf80-40f9-9288-b6c0c830790f.mp3,100.0,c,[0. 0. 0. 0. 0. 1.],c,[0.4 0.  0.  0.  0.  0.6],c,"[6.48545710e-02 7.34864816e-16 3.49704108e-08 2.03466744e-04
 3.41647490e-02 9.00777178e-01]",c,"[8.48610100e-02 1.98545180e-04 6.02427221e-05 2.41275994e-03
 8.85365862e-02 8.23930856e-01]",c,"[1.26595659e-01 0.00000000e+00 1.34673189e-08 2.20178485e-05
 8.99925916e-02 7.83389718e-01]",c
7bcae97d-7540-412e-a3db-d11df56efd1f_0_1_r.mp3,85.01,c,[0. 0. 0. 0. 0. 1.],b2,[0.  0.  0.  0.  0.8 0.2],b2,"[1.39766528e-03 6.93192106e-12 1.57582328e-04 3.26939272e-03
 6.28207307e-01 3.66968052e-01]",b2,[0.00301893 0.00132887 0.01928593 0.02642014 0.55444291 0.39550321],b2,"[6.87528597e-07 0.00000000e+00 1.41191401e-04 6.67180133e-04
 7.04708485e-01 2.94482456e-01]",b2
dc821f3f-11ab-4f8d-8776-67900e92b4c0.mp3,95.08,c,[0. 0. 0. 0. 0. 1.],b2,[0.  0.  0.  0.2 0.6 0.2],b2,"[2.93493832e-03 2.63852687e-14 1.89683225e-06 3.22295934e-02
 6.64936079e-01 2.99897493e-01]",b2,[0.01369103 0.00252287 0.00656674 0.13315309 0.53305904 0.31100722],b2,"[8.63001634e-017 3.86627223e-102 3.09548747e-012 1.48249237e-001
 8.51149272e-001 6.01491414e-004]",b2
204a1441-694a-498f-a1a3-6450d683e16c.mp3,95.03,c,[0. 0. 0. 0. 0. 1.],c,[0. 0. 0. 0. 0. 1.],c,"[3.83225743e-05 1.09831419e-12 7.38438949e-05 4.73122278e-03
 1.39665441e-01 8.55491169e-01]",c,[0.01534139 0.00280098 0.00850013 0.04483966 0.24768441 0.68083343],c,"[4.55213583e-05 0.00000000e+00 9.99973701e-03 2.28228883e-02
 3.07454147e-01 6.59677707e-01]",c
86180bc1-b782-43bc-9535-bb9f3d025bc6.mp3,95.03,c,[0. 0. 0. 0. 0. 1.],c,[0.  0.  0.  0.2 0.2 0.6],b2,"[4.32858690e-05 1.68237789e-13 1.20404659e-05 6.45388096e-02
 5.68888387e-01 3.66517477e-01]",b2,[0.0121003  0.00460948 0.01584498 0.16750062 0.43954357 0.36040106],b2,"[2.79834919e-06 0.00000000e+00 5.41622684e-05 8.36086401e-02
 8.14182666e-01 1.02151733e-01]",b2
4ba7f5f0-abdd-4d0e-a1e8-33d3b62f365d.mp3,85.04,b2,[0. 0. 0. 0. 1. 0.],c,[0. 0. 0. 0. 0. 1.],c,"[1.68341065e-04 1.57944607e-13 1.00906701e-05 5.95310752e-03
 3.27062342e-01 6.66806119e-01]",c,[0.02177909 0.00076264 0.00070054 0.01662307 0.37421012 0.58592455],b2,"[2.32333091e-06 0.00000000e+00 2.11038941e-05 3.13360317e-03
 6.91518395e-01 3.05324575e-01]",c
2d4c0dce-838c-4858-87fc-2e579a82beaa.mp3,100.0,b2,[0. 0. 0. 0. 1. 0.],c,[0.  0.  0.  0.  0.4 0.6],a,"[9.94233978e-01 3.52685672e-14 3.11430691e-07 4.56788914e-05
 1.51024791e-03 4.20978371e-03]",c,[0.08181497 0.00289745 0.00358767 0.05210033 0.36136006 0.49823953],b2,"[3.04013942e-004 7.02953428e-152 6.26038079e-005 5.96922773e-003
 9.66081808e-001 2.75823467e-002]",c
be930f49-402b-487c-ade9-6e66d911a213.mp3,100.0,c,[0. 0. 0. 0. 0. 1.],c,[0. 0. 0. 0. 0. 1.],c,"[9.99698251e-05 3.20742527e-15 5.85486657e-07 4.20201356e-03
 9.66806117e-02 8.99016819e-01]",c,[0.02756527 0.00140112 0.00202943 0.03447209 0.18345668 0.75107541],c,"[9.30218399e-03 1.30967604e-37 2.02422636e-04 4.48332734e-03
 1.01284877e-01 8.84727190e-01]",c
1005b461-652d-4225-9bad-6fc3d8c185c4.mp3,95.04,c,[0. 0. 0. 0. 0. 1.],c,[0.  0.  0.  0.  0.2 0.8],c,"[1.03598850e-04 2.62730883e-18 5.03382135e-09 7.52908472e-04
 2.46465568e-01 7.52677920e-01]",c,"[1.41874814e-02 1.94422757e-04 1.58945080e-04 6.74325344e-03
 2.65779751e-01 7.12936146e-01]",b2,"[1.54769101e-09 0.00000000e+00 8.70345554e-12 1.16544481e-03
 7.73160983e-01 2.25673570e-01]",c
1b07ead4-f70a-4a84-8df2-44cd23cd5d2e.mp3,100.0,c,[0. 0. 0. 0. 0. 1.],b2,[0.  0.  0.  0.2 0.8 0. ],b2,"[1.51259209e-03 1.77464047e-13 2.12140644e-05 5.16042057e-02
 6.91768737e-01 2.55093251e-01]",b2,[0.01053706 0.00219737 0.01002099 0.14774921 0.58943502 0.24006035],b2,"[8.46834122e-15 1.04812815e-90 1.57157222e-08 6.65147004e-02
 9.33470003e-01 1.52804026e-05]",b2
dd1d3540-5c87-43d4-b84b-5b2bb8df3b07.mp3,70.0,b2,[0. 0. 0. 0. 1. 0.],b2,[0.  0.  0.  0.4 0.6 0. ],b2,"[1.96494581e-06 8.72211408e-13 5.89017165e-06 1.53258738e-01
 8.27792775e-01 1.89406323e-02]",b2,[0.0030712  0.00215994 0.01080098 0.20229039 0.71395407 0.06772341],b2,"[1.18841812e-19 0.00000000e+00 2.59338683e-14 4.74597419e-02
 9.52538581e-01 1.67717454e-06]",b2
81fa47b8-2404-4ae5-8890-0c32d26a87e6_0_1_r.mp3,90.14,b2,[0. 0. 0. 0. 1. 0.],b2,[0.  0.  0.  0.  0.6 0.4],c,"[1.71330003e-04 6.25343667e-13 1.57763987e-05 5.53160138e-03
 3.25238613e-01 6.69042679e-01]",b2,[0.00133831 0.00233575 0.03773421 0.07267538 0.44331162 0.44260473],c,[0.01088853 0.         0.04411101 0.00589116 0.41849521 0.52061409],b2
f3ecf0da-5ee1-4cb5-9ff3-fbcf5f85f78c.mp3,100.0,c,[0. 0. 0. 0. 0. 1.],b2,[0.  0.  0.  0.2 0.4 0.4],c,"[3.16243341e-06 8.41272299e-12 4.01387861e-03 1.58749697e-02
 1.41013184e-01 8.39094806e-01]",c,[0.0225769  0.00672656 0.03968564 0.11611462 0.23961549 0.57528079],a2,"[1.19698455e-006 3.62242877e-187 3.93453731e-001 2.04669935e-001
 3.15299617e-001 8.65755203e-002]",b2
ad98cd5e-82d8-4cfa-8950-2656e47c5a47.mp3,100.0,b2,[0. 0. 0. 0. 1. 0.],c,[0.4 0.  0.  0.  0.  0.6],c,"[4.50045638e-05 6.50967679e-16 4.20932150e-06 2.44647539e-04
 1.32295561e-02 9.86476582e-01]",c,"[8.08489321e-02 1.26268849e-04 1.09283234e-04 1.90462401e-03
 4.06775684e-02 8.76333323e-01]",b2,"[7.44617403e-002 1.33923523e-218 6.67955223e-005 1.76314643e-003
 6.38625659e-001 2.85082659e-001]",c
b8e0c0cd-d29d-49f7-961d-37e9a48ec046.mp3,80.12,b2,[0. 0. 0. 0. 1. 0.],b1,[0.  0.  0.  0.6 0.2 0.2],b2,"[3.33899837e-04 4.38378343e-14 1.34754590e-06 2.03431522e-01
 7.72927300e-01 2.33059312e-02]",b2,[0.00626973 0.00436508 0.01185081 0.40346259 0.5171893  0.05686248],b1,"[3.13126169e-23 0.00000000e+00 1.16242392e-18 6.58158796e-01
 3.41840129e-01 1.07471084e-06]",b2
bc57fa92-2658-4d69-9fe0-4a4504087662.mp3,100.0,c,[0. 0. 0. 0. 0. 1.],c,[0.2 0.  0.  0.  0.  0.8],c,"[3.60717202e-05 3.98319379e-16 2.99107936e-07 5.66360381e-04
 2.51440607e-01 7.47956662e-01]",c,"[1.01262835e-02 2.66145460e-04 3.71684011e-04 4.93893198e-03
 2.58548497e-01 7.25748458e-01]",c,"[2.47414669e-06 0.00000000e+00 7.62549294e-07 3.43234181e-05
 2.79726851e-01 7.20235589e-01]",c
f17f2a58-cad7-4d94-8a53-6592233f1b1c.mp3,100.0,c,[0. 0. 0. 0. 0. 1.],a,[0.4 0.  0.  0.  0.2 0.4],c,"[3.13879020e-01 2.88638964e-12 8.44937196e-06 1.06082171e-03
 4.72266563e-02 6.37825053e-01]",c,"[1.97402729e-01 8.12466989e-04 3.46560675e-04 7.04507939e-03
 1.23389775e-01 6.71003388e-01]",c,"[3.41807202e-01 0.00000000e+00 3.30542177e-07 8.98035870e-05
 8.75537722e-02 5.70548892e-01]",c
e3ea49f8-90e0-493f-b9a3-5d2510e0398f.mp3,90.06,b2,[0. 0. 0. 0. 1. 0.],b2,[0.  0.  0.  0.2 0.8 0. ],b2,"[1.95415226e-05 3.48346532e-15 3.63664459e-06 7.13574728e-02
 5.57398975e-01 3.71220374e-01]",b2,[0.00618803 0.00120739 0.00570675 0.11859683 0.47398457 0.39431643],b2,"[2.18357106e-010 9.34075487e-112 8.32523177e-004 7.99479488e-002
 9.19007134e-001 2.12393886e-004]",b2
e7bb57c7-fd1f-4861-bf39-a0bfd4cdd9e1.mp3,100.0,c,[0. 0. 0. 0. 0. 1.],c,[0.2 0.  0.  0.  0.  0.8],c,"[3.82313810e-03 3.61971950e-17 1.18445254e-08 1.58809329e-04
 2.37851403e-02 9.72232900e-01]",c,"[5.10635665e-02 1.72163945e-04 8.19282682e-05 2.76286745e-03
 6.47389583e-02 8.81180516e-01]",c,"[9.59828252e-05 0.00000000e+00 2.27233318e-10 3.56804662e-05
 7.43481938e-02 9.25520143e-01]",c
0fd11ac7-2c1f-4bda-98e2-407048caa8b2.mp3,69.76,b2,[0. 0. 0. 0. 1. 0.],b2,[0.  0.  0.  0.4 0.6 0. ],b2,"[2.40394896e-05 1.00268403e-10 6.40932653e-05 1.64169091e-01
 8.23631456e-01 1.21113206e-02]",b2,[0.0016713  0.0019719  0.00843955 0.13638144 0.79100876 0.06052704],b2,"[7.30067806e-15 0.00000000e+00 1.19934780e-06 6.21192574e-02
 9.37863704e-01 1.58396808e-05]",b2
f10ec9cd-9828-4cee-b40b-8a21cfd4c8f6.mp3,100.0,c,[0. 0. 0. 0. 0. 1.],c,[0.2 0.  0.  0.  0.2 0.6],c,"[1.25303810e-05 3.37058491e-17 7.48932948e-07 1.02833625e-03
 1.54357164e-01 8.44601221e-01]",c,[0.00950923 0.00094729 0.00303491 0.02678042 0.28149856 0.67822958],b2,"[3.60620406e-06 0.00000000e+00 1.94794967e-04 7.42057460e-04
 5.86968261e-01 4.12091281e-01]",b2
50e65efd-5dae-444a-948c-f7f4650bf047_0_1_r.mp3,85.0,b2,[0. 0. 0. 0. 1. 0.],b2,[0.  0.  0.  0.  0.6 0.4],c,"[6.01879800e-04 1.99936023e-13 4.82526373e-06 6.75796859e-03
 3.66623416e-01 6.26011910e-01]",c,[0.00185107 0.001265   0.01795994 0.05007586 0.41458926 0.51425886],c,[0.00090355 0.         0.00154845 0.00206432 0.28246378 0.7130199 ],b2
8a38ef27-843d-4887-8a77-e9c2f64aad69.mp3,95.01,a,[1. 0. 0. 0. 0. 0.],a,[0.4 0.  0.  0.  0.2 0.4],c,"[3.28667316e-03 6.90670451e-18 1.14992630e-09 6.12394004e-05
 6.51861191e-02 9.31465967e-01]",c,"[2.44990445e-02 5.65359051e-05 1.72123685e-05 7.65400882e-04
 9.14647342e-02 8.83197072e-01]",c,"[1.30172726e-03 0.00000000e+00 9.22943330e-12 5.96820359e-06
 2.85022730e-01 7.13669574e-01]",c
e9d45c86-66f5-42c4-ae58-d401e1ef0705.mp3,100.0,c,[0. 0. 0. 0. 0. 1.],c,[0.  0.  0.  0.  0.2 0.8],c,"[5.93804280e-03 1.56861256e-15 5.85759918e-07 8.70101792e-04
 7.63980575e-02 9.16793212e-01]",c,"[4.97490062e-02 3.26029693e-04 1.76937825e-04 6.51133015e-03
 1.53753843e-01 7.89482853e-01]",b2,"[7.53300343e-008 1.26818922e-123 6.70629523e-007 4.54367317e-004
 9.62529934e-001 3.70149529e-002]",c
