files,pronunciation,predictions_CART_model,predictions_proba_CART_model,predictions_KNN_model,predictions_proba_KNN_model,predictions_LDA_model,predictions_proba_LDA_model,predictions_LR_model,predictions_proba_LR_model,predictions_NB_model,predictions_proba_NB_model,predictions_SVN_model
20_neg.mp3,94.94,c,[0. 0. 0. 0. 0. 1.],c,[0.  0.  0.  0.  0.4 0.6],c,"[6.72532742e-05 1.92589911e-16 2.34952065e-07 1.17331279e-04
 1.40544074e-01 8.59271107e-01]",c,"[4.68932634e-03 1.55606097e-04 3.63409810e-04 3.87582871e-03
 2.95072000e-01 6.95843829e-01]",c,"[1.33647033e-05 0.00000000e+00 1.87084438e-06 4.19651708e-05
 2.46021302e-01 7.53921497e-01]",c
1_pos.mp3,95.02,c,[0. 0. 0. 0. 0. 1.],b2,[0.  0.  0.  0.  0.6 0.4],c,"[5.33758948e-05 3.71661947e-15 2.82620838e-07 1.58566952e-04
 8.56006636e-02 9.14187111e-01]",c,"[4.76882456e-03 1.20205618e-04 3.22904883e-04 2.64881792e-03
 1.93162621e-01 7.98976626e-01]",c,"[5.89235440e-05 0.00000000e+00 2.59632087e-07 5.39554144e-06
 7.67181100e-02 9.23217311e-01]",c
2_pos.mp3,95.04,c,[0. 0. 0. 0. 0. 1.],c,[0.  0.  0.  0.  0.4 0.6],c,"[9.11840983e-05 1.48194210e-17 8.99936971e-09 2.48322049e-04
 1.36121033e-01 8.63539452e-01]",c,"[1.85998129e-03 1.72171130e-04 6.61187291e-04 7.95886152e-03
 2.97195486e-01 6.92152313e-01]",c,"[1.12847800e-03 4.49379681e-54 6.49232753e-06 4.98502473e-05
 8.49854707e-02 9.13829709e-01]",c
15_neg.mp3,90.07,b2,[0. 0. 0. 0. 1. 0.],b2,[0.  0.  0.  0.2 0.6 0.2],a,"[8.79452164e-01 2.35721944e-11 1.69041074e-05 1.92268426e-02
 8.26297791e-02 1.86743098e-02]",b2,[0.03167023 0.0120554  0.02016931 0.25822962 0.52139085 0.15648459],b1,[0.01303451 0.         0.00085675 0.6276851  0.33572597 0.02269768],b2
9_pos.mp3,90.09,c,[0. 0. 0. 0. 0. 1.],b2,[0.  0.  0.  0.  0.6 0.4],c,"[2.17975586e-07 2.70236929e-17 4.70445139e-07 1.11429185e-03
 2.54466483e-01 7.44418536e-01]",c,[0.00180435 0.00078771 0.0042669  0.02973433 0.3547354  0.60867131],c,"[1.62656032e-07 0.00000000e+00 1.01861008e-03 2.49950344e-03
 3.68008695e-01 6.28473029e-01]",b2
10_pos.mp3,94.93,a,[1. 0. 0. 0. 0. 0.],c,[0.  0.  0.  0.  0.2 0.8],c,"[8.34376534e-02 1.33708644e-16 3.52758465e-09 6.57166379e-05
 4.70395681e-02 8.69457058e-01]",c,"[9.57836349e-03 7.52431929e-05 7.98335574e-05 1.37917322e-03
 1.15864431e-01 8.73022955e-01]",c,"[2.97728516e-03 1.91477064e-70 6.25102654e-09 4.41925715e-06
 4.28727598e-02 9.54145530e-01]",c
7_pos.mp3,85.08,c,[0. 0. 0. 0. 0. 1.],b2,[0.  0.  0.  0.  0.8 0.2],b2,"[2.55943795e-04 7.73995227e-14 1.53730154e-07 1.09018809e-01
 6.18966553e-01 2.71758540e-01]",b2,[0.00820907 0.00172151 0.00258462 0.15606641 0.54757362 0.28384477],b1,"[7.34988815e-08 0.00000000e+00 6.71449576e-09 9.97638460e-01
 4.02787845e-04 1.95867217e-03]",b2
14_neg.mp3,70.05,b2,[0. 0. 0. 0. 1. 0.],b2,[0.  0.  0.  0.2 0.4 0.4],a2,"[1.10228562e-03 7.70145480e-07 4.20359247e-01 1.35592071e-01
 2.13366930e-01 2.29578696e-01]",b2,[0.06460991 0.0291877  0.08563334 0.25222015 0.30833721 0.26001169],a2,"[5.43295481e-04 0.00000000e+00 6.51942590e-01 2.51396297e-01
 9.20830842e-02 4.03473297e-03]",b2
17_neg.mp3,85.07,b2,[0. 0. 0. 0. 1. 0.],b2,[0.  0.  0.  0.4 0.6 0. ],b2,"[2.11266355e-06 6.77872878e-11 1.67623637e-04 5.79737531e-02
 7.19779882e-01 2.22076629e-01]",b2,[0.00389752 0.00951809 0.03888963 0.19733313 0.52439262 0.22596902],b2,"[1.59430493e-06 0.00000000e+00 1.05850301e-03 3.28878180e-01
 4.80399686e-01 1.89662037e-01]",b2
12_neg.mp3,69.84,b2,[0. 0. 0. 0. 1. 0.],b1,[0.  0.  0.2 0.6 0.2 0. ],b1,"[1.24164764e-08 6.74245127e-10 1.79805137e-05 9.79288611e-01
 1.94985019e-02 1.19489324e-03]",b1,[0.00346869 0.01000538 0.03604781 0.80685236 0.11149089 0.03213487],b1,"[3.46404920e-16 0.00000000e+00 5.90105561e-13 9.99999998e-01
 1.06599886e-10 1.95927354e-09]",b1
6_pos.mp3,95.03,a,[1. 0. 0. 0. 0. 0.],c,[0. 0. 0. 0. 0. 1.],c,"[4.60050893e-05 1.73806667e-15 1.63738286e-06 8.70141178e-04
 3.47416198e-02 9.64340597e-01]",c,[0.01836746 0.00166847 0.00341412 0.02680939 0.11672876 0.83301179],c,"[4.08401572e-03 0.00000000e+00 1.14651704e-03 2.21571962e-04
 1.75333167e-02 9.77014579e-01]",c
